first,rel_type,second
CaseGrammar,sytax,FFrame
CaseGrammar,syntax,DepGT
FFrame,modelling,ArgLink
LinkG,related,DG
LinkG,related,CG
XDG,related,DG
RCG,related,CG
DepG,modelling,OG
FDG,related,DG
FDG,modelling,TopFocAn
Lexicase,related,DG
DG,syntax,MTT
Sem-CommS,semantics,MTT
DG,syntax,WordG
SemNet,semantics,WordG
FrameNet,bank,FFrame
LinkGParser,tool,LinkG
UD,bank,DG
FFrame,modelling,SemRoles
SynFunc,syntax,FuncGT
TopFocAn,pragmatics,FuncGT
SemRoles,sematics,FuncGT
DG,syntax,DepGT
FDG,modelling,FuncGT
TG,syntax,GenGT
FuncGT,modelling,SFL
